Delivery_person_Age,Delivery_person_Ratings,Type_of_order,Type_of_vehicle,Time_taken(min),distance_km
37,4.8,Buffet ,motorcycle ,28,1.5148048951935007
28,4.2,Buffet ,motorcycle ,16,4.66331041671685
24,4.6,Buffet ,motorcycle ,28,10.586541004121504
34,4.0,Meal ,scooter ,32,6.058874461145507
28,4.8,Drinks ,motorcycle ,26,17.29786575291325
32,4.6,Meal ,motorcycle ,40,19.044189514363698
24,4.7,Meal ,motorcycle ,15,1.572533729286321
37,4.7,Meal ,scooter ,25,14.0219570899938
29,4.6,Buffet ,motorcycle ,12,9.435201537430714
28,4.9,Drinks ,scooter ,33,4.66345622976206
24,4.9,Snack ,motorcycle ,38,4.537400479091801
24,4.7,Snack ,electric_scooter ,20,16.847895631642253
22,4.5,Drinks ,motorcycle ,20,7.448379823536196
30,3.5,Drinks ,motorcycle ,38,17.077999100718277
30,4.8,Drinks ,motorcycle ,44,10.867300462045835
37,4.3,Buffet ,scooter ,40,17.29786575291325
24,5.0,Meal ,motorcycle ,24,16.90314234117986
23,4.7,Snack ,motorcycle ,26,13.584306064167167
26,4.8,Meal ,motorcycle ,17,4.59663204175947
22,4.7,Snack ,motorcycle ,17,1.5527001159059903
33,5.0,Buffet ,scooter ,17,13.405971717381743
39,4.3,Buffet ,motorcycle ,39,10.56959081160131
38,5.0,Meal ,motorcycle ,29,9.056672984546829
33,4.3,Buffet ,motorcycle ,20,3.0527511596434675
29,4.5,Drinks ,scooter ,14,7.550511557032551
39,4.3,Meal ,electric_scooter ,32,4.717601092054723
30,4.0,Snack ,motorcycle ,43,19.364487993280896
25,5.0,Buffet ,electric_scooter ,12,13.830756172608513
35,4.2,Meal ,motorcycle ,39,6.105296485234226
39,4.2,Snack ,motorcycle ,34,7.772039544673178
20,4.5,Drinks ,motorcycle ,29,7.601870282547478
23,4.9,Buffet ,motorcycle ,22,19.673782443833463
37,4.7,Meal ,electric_scooter ,24,10.427668815941242
23,4.8,Buffet ,motorcycle ,19,1.543962384290521
38,4.7,Snack ,motorcycle ,43,20.44292976252901
27,4.3,Buffet ,motorcycle ,45,5.968570257847648
35,4.2,Buffet ,motorcycle ,22,3.064676862169093
39,4.6,Meal ,motorcycle ,25,9.435201537430714
21,4.7,Buffet ,scooter ,22,10.865065738215941
29,4.8,Drinks ,scooter ,29,9.08801379933047
32,4.9,Buffet ,motorcycle ,45,13.989695713800396
30,4.9,Snack ,scooter ,29,3.025079987314703
34,4.0,Meal ,motorcycle ,42,20.253584375809147
36,4.7,Snack ,motorcycle ,34,7.6508628104371885
22,4.7,Drinks ,motorcycle ,35,16.851359915661256
29,4.9,Meal ,scooter ,31,4.537905323142914
38,4.8,Snack ,motorcycle ,26,12.35024713647317
20,4.6,Snack ,electric_scooter ,17,11.007734763744617
38,4.0,Meal ,motorcycle ,31,4.528289130580048
22,4.9,Snack ,motorcycle ,24,7.562950099273998
30,4.6,Meal ,motorcycle ,15,7.772241951547947
26,5.0,Drinks ,motorcycle ,27,14.022321513257348
31,4.8,Snack ,motorcycle ,44,13.970007989574006
26,4.5,Drinks ,scooter ,18,5.958771662511523
26,4.4,Buffet ,motorcycle ,34,6.037990253487766
36,4.5,Meal ,electric_scooter ,21,9.315745106316243
26,4.8,Drinks ,scooter ,11,20.0689200615946
25,4.6,Meal ,motorcycle ,20,8.937919334801594
20,4.6,Meal ,scooter ,15,13.583143866695133
27,4.6,Meal ,scooter ,29,10.64201906419996
25,4.7,Drinks ,motorcycle ,24,10.565032566504131
25,5.0,Buffet ,scooter ,18,12.293290453033771
22,4.8,Drinks ,scooter ,30,10.427225702895106
22,4.9,Meal ,motorcycle ,25,12.580267822400963
31,4.2,Meal ,motorcycle ,41,12.418480328292787
36,4.0,Buffet ,scooter ,33,9.054602228168925
34,4.5,Buffet ,motorcycle ,22,11.007734763744617
33,5.0,Snack ,scooter ,29,7.6597039787034085
37,4.9,Meal ,scooter ,27,11.007734763744617
20,4.8,Meal ,motorcycle ,26,10.867352908691128
29,4.6,Snack ,scooter ,19,20.85157880964364
20,4.6,Snack ,motorcycle ,26,20.85227883430363
20,5.0,Buffet ,motorcycle ,26,4.663344843093785
24,4.8,Meal ,motorcycle ,28,1.5302594894332384
20,4.7,Drinks ,electric_scooter ,18,6.128501214162246
26,4.2,Buffet ,motorcycle ,23,1.5581244322254744
34,4.9,Drinks ,scooter ,18,1.4881222937797471
28,5.0,Meal ,motorcycle ,40,10.866215152975023
31,5.0,Buffet ,electric_scooter ,18,3.0589686156370437
31,4.5,Drinks ,scooter ,35,19.91431676645955
36,4.2,Buffet ,scooter ,35,9.326940869812143
